old_path,new_path,width,height,original_size_bytes,webp_size_bytes
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\AboutUsBannerWide.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\AboutUsBannerWide.webp,3800,550,1920325,98028
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ApplicationKits1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ApplicationKits1200x1200.webp,1200,1200,1442785,124884
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\AutonomousSystems.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\AutonomousSystems.webp,643,643,296003,28726
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\BODYCOMPACCcategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\BODYCOMPACCcategory1200x1200.webp,1200,1200,1476977,119168
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Brevini_Dana_Logo.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Brevini_Dana_Logo.webp,243,49,14827,6750
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ContactBanner.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ContactBanner.webp,4608,1024,8918814,419024
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CONTROLScategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CONTROLScategory1200x1200.webp,1200,1200,1639917,146392
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CONTROLSkeyproduct800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CONTROLSkeyproduct800x800.webp,800,800,533899,47194
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CRANESAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\CRANESAPP800x800.webp,800,800,196271,20000
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Cylinder.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Cylinder.webp,2000,2000,964083,49666
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\FILTERScategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\FILTERScategory1200x1200.webp,1200,1200,703225,43688
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Filtration.jpg,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Filtration.webp,242,274,6187,3942
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOISTCYLScategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOISTCYLScategory1200x1200.webp,1200,1200,945196,81458
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOISTCYLScategory800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOISTCYLScategory800x800.webp,800,800,278167,20578
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOOKLIFTAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HOOKLIFTAPP800x800.webp,800,800,293277,23652
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HoseCouplingFittingscategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\HoseCouplingFittingscategory1200x1200.webp,1200,1200,1619536,167302
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydac-logo.jpg,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydac-logo.webp,160,89,5194,1686
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydhosefittings.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydhosefittings.webp,690,480,270105,23652
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydreco-logo.jpg,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\hydreco-logo.webp,431,134,32538,6952
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\LOWLOADER800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\LOWLOADER800x800.webp,800,800,176459,16504
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\MaintenanceSparesKitsCategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\MaintenanceSparesKitsCategory1200x1200.webp,1200,1200,1527631,133448
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Powerauto-Logo.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Powerauto-Logo.webp,699,163,20202,9372
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PowerautoRedTruck.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PowerautoRedTruck.webp,826,652,891898,64194
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ProductsBanner.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ProductsBanner.webp,8000,358,2668524,243294
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ProductsBannerStatic.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\ProductsBannerStatic.webp,2000,358,684496,75994
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory1200x1200.webp,1200,1200,1330489,103944
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory400x400.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory400x400.webp,400,400,202305,19906
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PTOcategory800x800.webp,800,800,393412,30158
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Pumps.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Pumps.webp,400,300,103527,9834
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PUMPScategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PUMPScategory1200x1200.webp,1200,1200,1477025,105240
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PUMPScategory800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\PUMPScategory800x800.webp,800,800,347347,25620
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\RadioKit.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\RadioKit.webp,400,400,89455,9488
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\scanreco-logo.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\scanreco-logo.webp,1222,498,50145,21348
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\SIDETIPPERAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\SIDETIPPERAPP800x800.webp,800,800,316523,18556
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\SKIPLOADERAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\SKIPLOADERAPP800x800.webp,800,800,396091,29000
